index,path_align,goal_align,nav_status,nav_time
138,1.0,2.0,SUCCEEDED,33.789
139,1.0,2.0,SUCCEEDED,33.692
140,1.0,3.0,SUCCEEDED,33.406
141,1.0,3.0,SUCCEEDED,33.464
142,1.0,3.0,SUCCEEDED,33.584
143,1.0,3.0,SUCCEEDED,33.877
144,1.0,3.0,SUCCEEDED,33.372
145,1.0,3.0,SUCCEEDED,33.199
146,1.0,3.0,SUCCEEDED,32.977
147,1.0,3.0,SUCCEEDED,33.245
148,1.0,3.0,SUCCEEDED,33.51
149,1.0,3.0,SUCCEEDED,33.638
150,2.0,0.1,SUCCEEDED,33.208
151,2.0,0.1,SUCCEEDED,33.072
152,2.0,0.1,SUCCEEDED,32.864
153,2.0,0.1,SUCCEEDED,33.414
154,2.0,0.1,SUCCEEDED,33.092
155,2.0,0.1,SUCCEEDED,33.456
156,2.0,0.1,SUCCEEDED,33.294
157,2.0,0.1,SUCCEEDED,33.569
158,2.0,0.1,SUCCEEDED,33.379
159,2.0,0.1,SUCCEEDED,33.385
160,2.0,0.5,SUCCEEDED,33.222
161,2.0,0.5,SUCCEEDED,32.767
162,2.0,0.5,SUCCEEDED,32.981
163,2.0,0.5,SUCCEEDED,32.849
164,2.0,0.5,SUCCEEDED,33.02
165,2.0,0.5,SUCCEEDED,33.114
166,2.0,0.5,SUCCEEDED,33.1
167,2.0,0.5,SUCCEEDED,33.104
168,2.0,0.5,SUCCEEDED,33.202
169,2.0,0.5,SUCCEEDED,32.929
170,2.0,1.0,SUCCEEDED,33.263
171,2.0,1.0,SUCCEEDED,33.252
172,2.0,1.0,SUCCEEDED,33.76
173,2.0,1.0,SUCCEEDED,33.381
174,2.0,1.0,SUCCEEDED,32.984
175,2.0,1.0,SUCCEEDED,33.452
176,2.0,1.0,SUCCEEDED,33.492
177,2.0,1.0,SUCCEEDED,33.23
178,2.0,1.0,SUCCEEDED,33.217
179,2.0,1.0,SUCCEEDED,33.442
180,2.0,2.0,SUCCEEDED,34.074
181,2.0,2.0,SUCCEEDED,33.902
182,2.0,2.0,SUCCEEDED,33.474
183,2.0,2.0,SUCCEEDED,33.051
